id,full_name,gender,governorate,party
260,Candidate 0260,Male,Nineveh,Progressive Movement
261,Candidate 0261,Male,Kirkuk,Unity Alliance
262,Candidate 0262,Male,Baghdad,Justice Bloc
263,Candidate 0263,Female,Anbar,Justice Bloc
264,Candidate 0264,Female,Baghdad,Progressive Movement
265,Candidate 0265,Female,Erbil,Justice Bloc
266,Candidate 0266,Male,Karbala,People First
267,Candidate 0267,Male,Dhi Qar,Unity Alliance
268,Candidate 0268,Male,Nineveh,People First
269,Candidate 0269,Male,Basra,Unity Alliance
270,Candidate 0270,Male,Erbil,Renewal Front
271,Candidate 0271,Female,Najaf,Unity Alliance
272,Candidate 0272,Female,Erbil,Justice Bloc
273,Candidate 0273,Female,Kirkuk,Renewal Front
274,Candidate 0274,Female,Najaf,Unity Alliance
275,Candidate 0275,Male,Dhi Qar,People First
276,Candidate 0276,Female,Baghdad,Unity Alliance
277,Candidate 0277,Male,Anbar,Renewal Front
278,Candidate 0278,Male,Erbil,Renewal Front
279,Candidate 0279,Male,Nineveh,Justice Bloc
280,Candidate 0280,Female,Erbil,Progressive Movement
281,Candidate 0281,Female,Najaf,Unity Alliance
282,Candidate 0282,Female,Sulaymaniyah,Justice Bloc
283,Candidate 0283,Female,Sulaymaniyah,Unity Alliance
284,Candidate 0284,Male,Sulaymaniyah,Justice Bloc
285,Candidate 0285,Female,Erbil,Justice Bloc
286,Candidate 0286,Male,Najaf,Unity Alliance
287,Candidate 0287,Female,Erbil,People First
288,Candidate 0288,Male,Dhi Qar,Renewal Front
289,Candidate 0289,Male,Kirkuk,Justice Bloc
290,Candidate 0290,Female,Baghdad,Progressive Movement
291,Candidate 0291,Female,Anbar,Justice Bloc
292,Candidate 0292,Female,Baghdad,Progressive Movement
293,Candidate 0293,Female,Kirkuk,Progressive Movement
294,Candidate 0294,Female,Najaf,Justice Bloc
295,Candidate 0295,Male,Baghdad,Renewal Front
296,Candidate 0296,Male,Nineveh,People First
297,Candidate 0297,Male,Kirkuk,Justice Bloc
298,Candidate 0298,Male,Karbala,Unity Alliance
299,Candidate 0299,Female,Basra,Progressive Movement
300,Candidate 0300,Female,Erbil,Renewal Front
301,Candidate 0301,Female,Dhi Qar,Justice Bloc
302,Candidate 0302,Female,Karbala,Justice Bloc
303,Candidate 0303,Male,Dhi Qar,Progressive Movement
304,Candidate 0304,Male,Basra,People First
305,Candidate 0305,Female,Sulaymaniyah,Renewal Front
306,Candidate 0306,Female,Baghdad,People First
307,Candidate 0307,Female,Anbar,Renewal Front
308,Candidate 0308,Female,Nineveh,Justice Bloc
309,Candidate 0309,Female,Sulaymaniyah,People First
310,Candidate 0310,Female,Najaf,People First
311,Candidate 0311,Male,Karbala,Renewal Front
312,Candidate 0312,Female,Karbala,Justice Bloc
313,Candidate 0313,Male,Sulaymaniyah,Justice Bloc
314,Candidate 0314,Female,Dhi Qar,Progressive Movement
315,Candidate 0315,Female,Baghdad,Progressive Movement
316,Candidate 0316,Female,Basra,Justice Bloc
317,Candidate 0317,Male,Kirkuk,Justice Bloc
318,Candidate 0318,Male,Nineveh,Justice Bloc
319,Candidate 0319,Male,Basra,Justice Bloc
320,Candidate 0320,Female,Sulaymaniyah,Renewal Front
321,Candidate 0321,Female,Basra,People First
322,Candidate 0322,Female,Sulaymaniyah,Justice Bloc
323,Candidate 0323,Male,Anbar,Unity Alliance
324,Candidate 0324,Male,Erbil,Progressive Movement
325,Candidate 0325,Male,Dhi Qar,Unity Alliance
326,Candidate 0326,Male,Najaf,Progressive Movement
327,Candidate 0327,Female,Baghdad,Unity Alliance
328,Candidate 0328,Female,Baghdad,People First
329,Candidate 0329,Female,Sulaymaniyah,Justice Bloc
330,Candidate 0330,Male,Karbala,Renewal Front
331,Candidate 0331,Female,Anbar,Progressive Movement
332,Candidate 0332,Male,Nineveh,Unity Alliance
333,Candidate 0333,Female,Anbar,Progressive Movement
334,Candidate 0334,Female,Anbar,Progressive Movement
335,Candidate 0335,Male,Najaf,People First
336,Candidate 0336,Female,Erbil,Unity Alliance
337,Candidate 0337,Female,Erbil,Renewal Front
338,Candidate 0338,Male,Basra,Justice Bloc
339,Candidate 0339,Female,Anbar,People First
340,Candidate 0340,Female,Erbil,Justice Bloc
341,Candidate 0341,Female,Karbala,Justice Bloc
342,Candidate 0342,Female,Basra,Progressive Movement
343,Candidate 0343,Female,Anbar,People First
344,Candidate 0344,Female,Erbil,Unity Alliance
345,Candidate 0345,Female,Erbil,Unity Alliance
346,Candidate 0346,Male,Anbar,Justice Bloc
347,Candidate 0347,Female,Karbala,Renewal Front
348,Candidate 0348,Female,Karbala,Progressive Movement
349,Candidate 0349,Female,Nineveh,Unity Alliance
350,Candidate 0350,Male,Erbil,Justice Bloc
351,Candidate 0351,Male,Anbar,People First
352,Candidate 0352,Male,Basra,People First
353,Candidate 0353,Female,Dhi Qar,Progressive Movement
354,Candidate 0354,Male,Nineveh,Renewal Front
355,Candidate 0355,Female,Kirkuk,Renewal Front
356,Candidate 0356,Female,Nineveh,People First
357,Candidate 0357,Female,Erbil,People First
358,Candidate 0358,Male,Najaf,Unity Alliance
359,Candidate 0359,Male,Karbala,Justice Bloc
360,Candidate 0360,Female,Basra,Justice Bloc
361,Candidate 0361,Male,Erbil,Renewal Front
362,Candidate 0362,Male,Najaf,People First
363,Candidate 0363,Female,Anbar,Justice Bloc
364,Candidate 0364,Female,Basra,Progressive Movement
365,Candidate 0365,Female,Baghdad,Renewal Front
366,Candidate 0366,Female,Anbar,Progressive Movement
367,Candidate 0367,Male,Najaf,People First
368,Candidate 0368,Female,Basra,Progressive Movement
369,Candidate 0369,Male,Baghdad,People First
370,Candidate 0370,Female,Basra,Unity Alliance
371,Candidate 0371,Male,Kirkuk,Progressive Movement
372,Candidate 0372,Female,Najaf,People First
373,Candidate 0373,Female,Anbar,Progressive Movement
374,Candidate 0374,Female,Basra,Justice Bloc
375,Candidate 0375,Female,Erbil,Unity Alliance
376,Candidate 0376,Female,Karbala,Justice Bloc
377,Candidate 0377,Female,Karbala,People First
378,Candidate 0378,Male,Sulaymaniyah,Renewal Front
379,Candidate 0379,Female,Baghdad,Justice Bloc
380,Candidate 0380,Female,Karbala,Unity Alliance
381,Candidate 0381,Female,Basra,Progressive Movement
382,Candidate 0382,Male,Baghdad,People First
383,Candidate 0383,Male,Nineveh,Renewal Front
384,Candidate 0384,Male,Basra,Renewal Front
385,Candidate 0385,Male,Anbar,Progressive Movement
386,Candidate 0386,Male,Sulaymaniyah,Progressive Movement
387,Candidate 0387,Male,Erbil,Progressive Movement
388,Candidate 0388,Male,Kirkuk,People First
389,Candidate 0389,Male,Basra,Unity Alliance
390,Candidate 0390,Male,Baghdad,People First
391,Candidate 0391,Male,Anbar,People First
392,Candidate 0392,Male,Nineveh,People First
393,Candidate 0393,Male,Nineveh,Justice Bloc
394,Candidate 0394,Male,Basra,Justice Bloc
395,Candidate 0395,Female,Sulaymaniyah,Renewal Front
396,Candidate 0396,Male,Najaf,Renewal Front
397,Candidate 0397,Male,Anbar,Unity Alliance
398,Candidate 0398,Female,Najaf,Unity Alliance
399,Candidate 0399,Male,Najaf,Justice Bloc
400,Candidate 0400,Female,Basra,Justice Bloc
401,Candidate 0401,Female,Basra,Unity Alliance
402,Candidate 0402,Female,Anbar,Progressive Movement
403,Candidate 0403,Male,Nineveh,People First
404,Candidate 0404,Female,Dhi Qar,Renewal Front
405,Candidate 0405,Female,Najaf,Renewal Front
406,Candidate 0406,Female,Basra,Unity Alliance
407,Candidate 0407,Male,Dhi Qar,Justice Bloc
408,Candidate 0408,Male,Dhi Qar,People First
409,Candidate 0409,Female,Dhi Qar,Justice Bloc
410,Candidate 0410,Male,Sulaymaniyah,Justice Bloc
411,Candidate 0411,Female,Erbil,People First
412,Candidate 0412,Male,Najaf,Unity Alliance
413,Candidate 0413,Male,Basra,Unity Alliance
414,Candidate 0414,Female,Basra,People First
415,Candidate 0415,Male,Kirkuk,Unity Alliance
416,Candidate 0416,Female,Basra,Justice Bloc
417,Candidate 0417,Female,Dhi Qar,Unity Alliance
418,Candidate 0418,Female,Anbar,People First
419,Candidate 0419,Female,Basra,Renewal Front
420,Candidate 0420,Male,Nineveh,Justice Bloc
421,Candidate 0421,Male,Basra,People First
422,Candidate 0422,Female,Basra,People First
423,Candidate 0423,Male,Dhi Qar,Renewal Front
424,Candidate 0424,Male,Anbar,People First
425,Candidate 0425,Male,Nineveh,People First
426,Candidate 0426,Female,Sulaymaniyah,People First
427,Candidate 0427,Male,Nineveh,Progressive Movement
428,Candidate 0428,Female,Basra,Progressive Movement
429,Candidate 0429,Male,Basra,Renewal Front
430,Candidate 0430,Male,Dhi Qar,Justice Bloc
431,Candidate 0431,Female,Sulaymaniyah,Progressive Movement
432,Candidate 0432,Female,Erbil,People First
433,Candidate 0433,Male,Baghdad,Progressive Movement
434,Candidate 0434,Male,Anbar,Unity Alliance
435,Candidate 0435,Male,Erbil,Justice Bloc
436,Candidate 0436,Female,Najaf,Renewal Front
437,Candidate 0437,Female,Dhi Qar,People First
438,Candidate 0438,Male,Kirkuk,Unity Alliance
439,Candidate 0439,Female,Dhi Qar,Unity Alliance
440,Candidate 0440,Female,Anbar,Justice Bloc
441,Candidate 0441,Female,Baghdad,Progressive Movement
442,Candidate 0442,Female,Anbar,Unity Alliance
443,Candidate 0443,Male,Karbala,People First
444,Candidate 0444,Male,Nineveh,People First
445,Candidate 0445,Female,Sulaymaniyah,Unity Alliance
446,Candidate 0446,Male,Najaf,Justice Bloc
447,Candidate 0447,Male,Nineveh,Justice Bloc
448,Candidate 0448,Male,Kirkuk,Renewal Front
449,Candidate 0449,Female,Basra,Justice Bloc
450,Candidate 0450,Male,Dhi Qar,Unity Alliance
451,Candidate 0451,Female,Basra,People First
452,Candidate 0452,Female,Anbar,Justice Bloc
453,Candidate 0453,Female,Erbil,Unity Alliance
454,Candidate 0454,Female,Baghdad,People First
455,Candidate 0455,Male,Anbar,Justice Bloc
456,Candidate 0456,Female,Basra,Justice Bloc
457,Candidate 0457,Male,Karbala,Justice Bloc
458,Candidate 0458,Female,Kirkuk,Unity Alliance
459,Candidate 0459,Female,Erbil,People First
460,Candidate 0460,Male,Sulaymaniyah,Progressive Movement
461,Candidate 0461,Male,Kirkuk,Unity Alliance
462,Candidate 0462,Male,Sulaymaniyah,People First
463,Candidate 0463,Male,Karbala,Unity Alliance
464,Candidate 0464,Male,Erbil,Progressive Movement
465,Candidate 0465,Male,Anbar,Progressive Movement
466,Candidate 0466,Male,Nineveh,Justice Bloc
467,Candidate 0467,Female,Anbar,Renewal Front
468,Candidate 0468,Female,Anbar,Renewal Front
469,Candidate 0469,Female,Sulaymaniyah,Progressive Movement
470,Candidate 0470,Female,Basra,Justice Bloc
471,Candidate 0471,Female,Erbil,People First
472,Candidate 0472,Male,Sulaymaniyah,Renewal Front
473,Candidate 0473,Male,Erbil,Justice Bloc
474,Candidate 0474,Female,Baghdad,Unity Alliance
475,Candidate 0475,Female,Erbil,Unity Alliance
476,Candidate 0476,Male,Anbar,Renewal Front
477,Candidate 0477,Female,Najaf,Renewal Front
478,Candidate 0478,Male,Najaf,Renewal Front
479,Candidate 0479,Male,Sulaymaniyah,Renewal Front
480,Candidate 0480,Female,Kirkuk,Progressive Movement
481,Candidate 0481,Male,Najaf,Unity Alliance
482,Candidate 0482,Female,Basra,Renewal Front
483,Candidate 0483,Male,Baghdad,Progressive Movement
484,Candidate 0484,Female,Najaf,Renewal Front
485,Candidate 0485,Male,Sulaymaniyah,People First
486,Candidate 0486,Female,Dhi Qar,Justice Bloc
487,Candidate 0487,Female,Anbar,Unity Alliance
488,Candidate 0488,Female,Basra,People First
489,Candidate 0489,Male,Kirkuk,Justice Bloc
490,Candidate 0490,Female,Erbil,Renewal Front
491,Candidate 0491,Male,Sulaymaniyah,Unity Alliance
492,Candidate 0492,Male,Sulaymaniyah,People First
493,Candidate 0493,Female,Nineveh,Renewal Front
494,Candidate 0494,Male,Erbil,Renewal Front
495,Candidate 0495,Female,Sulaymaniyah,Progressive Movement
496,Candidate 0496,Male,Dhi Qar,Renewal Front
497,Candidate 0497,Female,Baghdad,People First
498,Candidate 0498,Female,Nineveh,Progressive Movement
499,Candidate 0499,Female,Najaf,Progressive Movement
500,Candidate 0500,Male,Nineveh,Progressive Movement
501,Candidate 0501,Male,Erbil,Unity Alliance
502,Candidate 0502,Male,Sulaymaniyah,Renewal Front
503,Candidate 0503,Male,Anbar,Justice Bloc
504,Candidate 0504,Male,Nineveh,Progressive Movement
505,Candidate 0505,Male,Najaf,Unity Alliance
506,Candidate 0506,Female,Sulaymaniyah,Progressive Movement
507,Candidate 0507,Female,Anbar,People First
508,Candidate 0508,Female,Karbala,Renewal Front
509,Candidate 0509,Male,Erbil,Justice Bloc
510,Candidate 0510,Male,Sulaymaniyah,Renewal Front
511,Candidate 0511,Female,Najaf,People First
512,Candidate 0512,Female,Kirkuk,Renewal Front
513,Candidate 0513,Female,Nineveh,Progressive Movement
514,Candidate 0514,Male,Erbil,Unity Alliance
515,Candidate 0515,Female,Sulaymaniyah,Renewal Front
516,Candidate 0516,Male,Kirkuk,Unity Alliance
517,Candidate 0517,Female,Basra,Progressive Movement
518,Candidate 0518,Female,Najaf,Renewal Front
519,Candidate 0519,Male,Dhi Qar,Unity Alliance
520,Candidate 0520,Male,Najaf,People First
521,Candidate 0521,Male,Dhi Qar,Unity Alliance
522,Candidate 0522,Female,Kirkuk,People First
523,Candidate 0523,Male,Dhi Qar,Unity Alliance
524,Candidate 0524,Female,Karbala,Unity Alliance
525,Candidate 0525,Female,Basra,People First
526,Candidate 0526,Male,Nineveh,Unity Alliance
527,Candidate 0527,Female,Najaf,Progressive Movement
528,Candidate 0528,Female,Najaf,Renewal Front
529,Candidate 0529,Male,Basra,Unity Alliance
530,Candidate 0530,Female,Karbala,Progressive Movement
531,Candidate 0531,Female,Basra,People First
532,Candidate 0532,Male,Erbil,Unity Alliance
533,Candidate 0533,Male,Karbala,Justice Bloc
534,Candidate 0534,Female,Basra,Unity Alliance
535,Candidate 0535,Female,Anbar,Renewal Front
536,Candidate 0536,Male,Kirkuk,Renewal Front
537,Candidate 0537,Male,Nineveh,People First
538,Candidate 0538,Female,Baghdad,Renewal Front
539,Candidate 0539,Female,Karbala,Renewal Front
540,Candidate 0540,Female,Nineveh,Unity Alliance
541,Candidate 0541,Female,Basra,Renewal Front
542,Candidate 0542,Male,Dhi Qar,Justice Bloc
